,description,title,salary,company,location,class,days_before
47,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
48,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
49,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
50,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
51,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
52,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
53,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
54,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
55,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
56,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
57,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
58,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
59,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
60,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
61,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
62,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
63,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
64,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
65,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
66,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
67,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
68,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
69,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
70,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
71,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
72,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
73,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
74,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
75,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
76,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
77,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
78,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
79,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
80,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
81,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
82,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
83,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
84,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
85,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
86,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
87,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
88,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
89,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
90,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
91,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
92,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
93,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
94,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
95,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
96,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
97,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
98,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
99,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
100,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
101,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
102,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
103,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
104,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
105,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
106,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
107,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
108,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
109,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
110,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
111,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
112,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
113,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
114,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
115,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
116,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
117,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
118,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
119,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
120,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
121,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
122,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
123,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
124,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
125,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
126,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
127,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
128,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
129,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
130,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
131,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
132,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
133,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
134,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
135,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
136,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
137,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
138,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
139,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
140,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
141,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
142,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
143,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
144,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
145,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
146,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
147,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
